Candidate,Staff,Position,Handle
Biden,Kate Bedingfield,Communications director,@KBeds
Biden,Jamal Brown,National press secretary,@JTOBrown
Biden,TJ Ducklo,National press secretary,@TDucklo
Biden,Remi Yamamoto,Traveling national press secretary,@RemiMYamamoto
Buttigieg,Lis Smith,Communications director,@Lis_Smith
Buttigieg,Chris Meagher,National press secretary,@chrismeagher
Buttigieg,Nina Smith,Traveling press secretary,@ninasophia81
Booker,Jeff Giertz,National communications director,@jeffgiertz
Booker,Sabrina Singh,National press secretary,@sabrinasingh24
Harris,Lily Adams,Communications director,@adamslily
Harris,Ian Sams,National press secretary,@IanSams
Klobuchar,Tim Hogan,Communications director,@timjhogan
Klobuchar,Carlie Waibel,National press secretary,@carliewaibel
Sanders,Arianna Jones,Communications director,@ariannaijones
Sanders,Briahna Joy Gray,National press secretary,@briebriejoy
Warren,Kristen Orthman,Communications director,@KristenOrthman
Warren,Gabrielle Farrell,Press secretary,@FarrellGabriell
Yang,Randy Jones,Press secretary,N/A
Yang,Madalin Sammons,Communications director,@SammonsMadalin
Gabbard,Erin McCallum,Communications consultant,@epmcc
Gabbard,Erika Tsuji,Spokeswoman,N/A
