Candidate,Staff,Position,Handle
Biden,Greg Schultz,Campaign manager,@schultzohio
Biden,Kate Bedingfield,Deputy campaign manager and communications director,@KBeds
Biden,Symone Sanders,Senior advisor,@SymoneDSanders
Biden,Cristóbal Alex,Senior advisor,@CristobalJAlex
Biden,Brandon English,Senior advisor,@brandonenglish
Biden,Erin Wilson,Political director,N/A
Biden,Kurt Bagley,National organizing director,@kurt_bagley
Biden,Jamal Brown,National press secretary,@JTOBrown
Biden,TJ Ducklo,National press secretary,@TDucklo
Biden,Remi Yamamoto,Traveling national press secretary,@RemiMYamamoto
Buttigieg,Mike Schmuhl,Campaign manager,N/A
Buttigieg,Stephen Brokaw,National political director,N/A
Buttigieg,Greta Carnes,National organizing director,@gretacarnes
Buttigieg,Lis Smith,Communications director,@Lis_Smith
Buttigieg,Chris Meagher,National press secretary,@chrismeagher
Buttigieg,Nina Smith,Traveling press secretary,@ninasophia81
Buttigieg,Sonal Shah,Policy director,@SonalRShah
Buttigieg,Jess O'Connell,Senior advisor,@JessOConnell
Booker,Addisu Demissie,Campaign manager,@ASDem
Booker,Matt Klapper,Senior advisor,@mattklapper
Booker,Tamia Booker,National political director,@TamiaDBooker
Booker,Jessica Lovejoy,National organizing team,@lovejoy941
Booker,Jeff Giertz,National communications director,@jeffgiertz
Booker,Sabrina Singh,National press secretary,@sabrinasingh24
Booker,Lauren Dikis,National finance director,@dikinator
Harris,Juan Rodriguez,Campaign manager,@lajrod
Harris,Averell Smith,Senior advisor,N/A
Harris,Sean Clegg,Senior advisor,@SeanClegg
Harris,Laphonza Butler,Senior advisor,@LaphonzaB
Harris,David Huynh,Senior advisor,@KeepHuynhing
Harris,Nathan Barankin,Senior advisor,@nathanbarankin
Harris,Emmy Ruiz,Senior advisor,@emmyruiz
Harris,Missayr Boker,Co-political director,N/A
Harris,Julie Chávez Rodríguez,Co-political director,N/A
Harris,Lily Adams,Communications director,@adamslily
Harris,Ian Sams,National press secretary,@IanSams
Harris,Angelique Cannon,National finance director,@cannonangelique
Klobuchar,Justin Buoen,Campaign manager,@jbuoen
Klobuchar,Pete Giangreco,Senior advisor,N/A
Klobuchar,Brigit Helgen,Senior advisor,N/A
Klobuchar,Lucinda Ware,Political director,N/A
Klobuchar,Mike McLaughlin,Field director,N/A
Klobuchar,Tim Hogan,Communications director,@timjhogan
Klobuchar,Carlie Waibel,National press secretary,@carliewaibel
Klobuchar,Michael Schultz,National finance director,N/A
Sanders,Faiz Shakir,Campaign manager,@fshakir
Sanders,Jeff Weaver,Senior advisor,N/A
Sanders,Chuck Rocha,Senior advisor,@ChuckRocha
Sanders,Analila Mejia,Political director,N/A
Sanders,Claire Sandberg,Organizing director,@clairesandberg
Sanders,Becca Rast,National field director,@beccarast
Sanders,Arianna Jones,Communications director,@ariannaijones
Sanders,Briahna Joy Gray,National press secretary,@briebriejoy
Warren,Roger Lau,Campaign manager,@RogerLau
Warren,Tracey Lewis,Senior advisor for organizing,@lewtml
Warren,Hope Hall,Senior advisor for video and senior road videographer,@hallhope
Warren,Jon Donenberg,Senior advisor and policy director,N/A
Warren,Kaaren Hinck,Senior advisor for planning,N/A
Warren,Rebecca Pearcey,National political director,@itspearcey
Warren,Kristen Orthman,Communications director,@KristenOrthman
Warren,Gabrielle Farrell,Press secretary,@FarrellGabriell
Warren,Richard McDaniel,National organizing director,@MrRichMcDaniel
Yang,Zach Graumann,Campaign manager,@Zach_Graumann
Yang,Randy Jones,Director of political affairs/press secretary,N/A
Yang,Madalin Sammons,Communications director,@SammonsMadalin
Yang,Zach Fang,National organizing director,N/A
Gabbard,Erin McCallum,Communications consultant,@epmcc
Gabbard,Erika Tsuji,Spokeswoman,N/A
